Date,Day,Hospital,Waiting Time,Attendance,BOR,Is_Holiday
2023-01-27,Friday,KTPH,3.4,297.0,89.9,0
2023-01-27,Friday,NTFGH,3.0,256.0,89.8,0
2023-01-27,Friday,NUH(A),2.8,278.0,82.2,0
2023-01-27,Friday,SGH,1.9,304.0,78.6,0
2023-01-27,Friday,SKH,4.3,345.0,88.2,0
2023-01-27,Friday,TTSH,5.6,345.0,90.9,0
2023-01-27,Friday,WH,,,,0
2023-01-28,Saturday,AH,1.7,44.0,70.6,0
2023-01-28,Saturday,CGH,4.7,286.0,86.5,0
2023-01-28,Saturday,KTPH,1.2,261.0,90.7,0
2023-01-28,Saturday,NTFGH,5.9,254.0,89.2,0
2023-01-28,Saturday,NUH(A),2.1,247.0,79.3,0
2023-01-28,Saturday,SGH,1.0,236.0,76.0,0
2023-01-28,Saturday,SKH,2.7,269.0,88.2,0
2023-01-28,Saturday,TTSH,4.6,293.0,93.5,0
2023-01-28,Saturday,WH,,,,0
2023-01-29,Sunday,AH,1.8,41.0,75.5,0
2023-01-29,Sunday,CGH,3.1,321.0,87.5,0
2023-01-29,Sunday,KTPH,0.7,270.0,93.7,0
2023-01-29,Sunday,NTFGH,5.9,254.0,89.2,0
2023-01-29,Sunday,NUH(A),2.3,248.0,79.8,0
2023-01-29,Sunday,SGH,0.9,247.0,76.3,0
2023-01-29,Sunday,SKH,2.5,314.0,89.6,0
2023-01-29,Sunday,TTSH,3.8,327.0,95.6,0
2023-01-29,Sunday,WH,,,,0
2023-01-30,Monday,AH,1.7,78.0,83.3,0
2023-01-30,Monday,CGH,14.9,392.0,88.6,0
2023-01-30,Monday,KTPH,3.1,395.0,95.8,0
2023-01-30,Monday,NTFGH,15.6,360.0,90.8,0
2023-01-30,Monday,NUH(A),6.1,366.0,82.1,0
2023-01-30,Monday,SGH,3.3,360.0,81.7,0
2023-01-30,Monday,SKH,6.0,400.0,91.5,0
2023-01-30,Monday,TTSH,4.7,394.0,95.4,0
2023-01-30,Monday,WH,,,,0
2023-01-31,Tuesday,AH,1.1,61.0,89.0,0
2023-01-31,Tuesday,CGH,19.1,363.0,87.5,0
2023-01-31,Tuesday,KTPH,4.5,359.0,95.2,0
2023-01-31,Tuesday,NTFGH,22.1,351.0,92.3,0
2023-01-31,Tuesday,NUH(A),4.1,311.0,82.9,0
2023-01-31,Tuesday,SGH,3.3,325.0,84.4,0
2023-01-31,Tuesday,SKH,13.4,338.0,92.9,0
2023-01-31,Tuesday,TTSH,5.1,367.0,94.1,0
2023-01-31,Tuesday,WH,,,,0
2023-02-01,Wednesday,AH,1.8,65.0,85.8,0
2023-02-01,Wednesday,CGH,14.9,369.0,87.4,0
2023-02-01,Wednesday,KTPH,6.7,336.0,96.9,0
2023-02-01,Wednesday,NTFGH,24.3,335.0,91.5,0
